outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
ideal_outcome,25,30,0.8353299215708663,0.7293333098853427,0.9567313989556928
ideal_outcome,25,35,0.7846167539693927,0.580254688952242,1.060953857557083
ideal_outcome,25,40,0.7105952410826377,0.4474865197100212,1.1284040399172366
best_performer,25,30,0.7619834652418445,0.6484504922150645,0.8953941870236127
best_performer,25,35,0.5974441192163252,0.4109281621753566,0.8686177011977407
best_performer,25,40,0.4690363081913724,0.2571435119386463,0.8555341596729931
major_clavien,25,30,1.0752227936759216,0.904829313805879,1.2777040248369789
major_clavien,25,35,0.8239393513094865,0.5587988905467746,1.2148843995950485
major_clavien,25,40,0.6283942738227059,0.34438123871729304,1.146634366157581
popf_bc,25,30,1.1249724048781207,0.9541030587738208,1.3264425683360859
popf_bc,25,35,1.21571602257804,0.856294285317853,1.7260017646904586
popf_bc,25,40,1.6265377453407894,0.9667035389158555,2.7367490968175523
conversion,25,30,1.2652164831165515,1.052642730411919,1.5207180013710848
conversion,25,35,1.3265205701685598,0.8966447817287067,1.9624904521138806
conversion,25,40,1.4607744169116585,0.8113777845725558,2.6299239856902688
